FID;id;x;y;z;descrip;lat;lng
30;479;1056165.055400000000000;870813.493299999970000;1342.066100000000000;T;3.427856645890000;-76.572165632700006
31;480;1056167.083099999900000;870817.015999999950000;1344.212100000000000;T;3.427888498930000;-76.572147389700007
32;481;1056160.818900000100000;870820.761900000040000;1342.016100000000100;T;3.427922366070000;-76.572203755100006
33;482;1056152.190299999900000;870822.957599999970000;1340.151100000000000;T;3.427942215230000;-76.572281394100003
34;483;1056158.447100000000000;870805.631100000000000;1339.295100000000000;T;3.427785553120000;-76.572225088600007
35;484;1056156.630100000000000;870814.883500000000000;1339.947100000000100;T;3.427869211870000;-76.572241442000006
36;485;1056154.262300000100000;870805.793500000030000;1337.974099999999900;T;3.427787019480000;-76.572262742400000
37;486;1056160.764100000000000;870807.603099999950000;1339.989100000000000;T;3.427803384960000;-76.572204241799994
38;502;1056143.777599999900000;870818.346200000030000;1336.186099999999900;T;3.427900515100000;-76.572357087100002
39;503;1056138.481699999900000;870820.597199999960000;1335.085100000000000;T;3.427920865910000;-76.572404739299998
40;504;1056135.918800000100000;870821.781399999980000;1334.973099999999900;T;3.427931572120000;-76.572427800100002
41;507;1056137.921799999900000;870820.525799999940000;1334.894100000000000;T;3.427920220040000;-76.572409777100006
42;508;1056137.097700000000000;870828.134399999980000;1336.250100000000000;T;3.427989016140000;-76.572417195800000
43;509;1056134.926700000000000;870825.642200000000000;1335.533100000000100;T;3.427966480750000;-76.572436728699998
44;539;1056107.551299999900000;870810.435300000010000;1334.198100000000100;T;3.427828967380000;-76.572683037900006
45;540;1056103.345000000000000;870814.259500000040000;1336.373100000000000;T;3.427863543490000;-76.572720886900001
46;541;1056109.780400000000000;870813.109399999960000;1334.472100000000000;T;3.427853147540000;-76.572662982300002
47;542;1056109.796900000000000;870816.682099999980000;1334.681100000000000;T;3.427885451680000;-76.572662835599999
48;550;1056150.385900000100000;870829.703499999950000;1340.324100000000000;T;3.428003210370000;-76.572297632900003
49;694;1056117.762500000000000;870867.168900000050000;1351.809099999999900;T;3.428341954240000;-76.572591187900002
50;695;1056119.121899999900000;870864.045999999970000;1351.855100000000000;T;3.428313717840000;-76.572578954899996
51;696;1056126.216000000000000;870870.933599999990000;1351.631100000000100;T;3.428375998600000;-76.572515127399996
52;708;1056104.235900000000000;870876.557099999980000;1351.793100000000100;T;3.428426835110000;-76.572712901299994
53;709;1056096.488799999900000;870876.011999999990000;1351.778100000000000;T;3.428421902520000;-76.572782607500002
54;710;1056137.527300000000000;870878.074600000050000;1351.920100000000000;T;3.428440572660000;-76.572413354700004
55;711;1056129.022399999900000;870874.075300000030000;1351.825100000000000;T;3.428404407050000;-76.572489877600006
56;712;1056124.983800000000000;870873.165299999990000;1351.703099999999900;T;3.428396176890000;-76.572526215500005
57;713;1056117.398700000000000;870875.841000000010000;1351.761099999999900;T;3.428420366680000;-76.572594465500003
58;714;1056096.241300000100000;870874.911800000000000;1351.830099999999900;T;3.428411954460000;-76.572784833900002
59;715;1056100.416200000100000;870875.243400000040000;1351.832100000000100;T;3.428414954830000;-76.572747269399997
60;733;1056098.894799999900000;870864.201400000020000;1351.839099999999900;T;3.428315112970000;-76.572760953100001
61;734;1056103.466900000100000;870860.885899999990000;1351.897099999999900;T;3.428285136680000;-76.572719812900004
62;735;1056109.713599999900000;870857.441200000000000;1351.863100000000000;T;3.428253992990000;-76.572663605100004
63;736;1056105.191799999900000;870854.264700000060000;1351.446099999999900;T;3.428225269040000;-76.572704289499995
